Tri?u ch?ng,Khoa,T? v?n
"T?ng huy?t áp, ?au ng?c",N?i ti?t,"T?ng huy?t áp, ?au ng?c,N?i ti?t"
"T?ng huy?t áp, m?t ng?",N?i ti?t,"T?ng huy?t áp, m?t ng?,N?i ti?t"
"T?ng huy?t áp, khó th?",N?i ti?t,"T?ng huy?t áp, khó th?,N?i ti?t"
"T?ng huy?t áp, s?t cân",N?i ti?t,"T?ng huy?t áp, s?t cân,N?i ti?t"
"?ái tháo ???ng, m?i m?t",N?i ti?t,"?ái tháo ???ng, m?i m?t,N?i ti?t"
"?ái tháo ???ng, s?i th?n",N?i ti?t,"?ái tháo ???ng, s?i th?n,N?i ti?t"
"?ái tháo ???ng, m?t trí nh?",N?i ti?t,"?ái tháo ???ng, m?t trí nh?,N?i ti?t"
"?ái tháo ???ng, táo bón",N?i ti?t,"?ái tháo ???ng, táo bón,N?i ti?t"
"?ái tháo ???ng, ?au ??u",N?i ti?t,"?ái tháo ???ng, ?au ??u,N?i ti?t"
"?ái tháo ???ng, khó tiêu hóa",N?i ti?t,"?ái tháo ???ng, khó tiêu hóa,N?i ti?t"
"?ái tháo ???ng, t?ng huy?t áp",N?i ti?t,"?ái tháo ???ng, t?ng huy?t áp,N?i ti?t"
"?ái tháo ???ng, b?nh gan nhi?m m?",N?i ti?t,"?ái tháo ???ng, b?nh gan nhi?m m?,N?i ti?t"
"M?t ng?, chán ?n",N?i ti?t,"M?t ng?, chán ?n,N?i ti?t"
"M?t ng?, ?au ??u",N?i ti?t,"M?t ng?, ?au ??u,N?i ti?t"
"M?t ng?, m?t trí nh?",N?i ti?t,"M?t ng?, m?t trí nh?,N?i ti?t"
"M?t ng?, m?t cân b?ng",N?i ti?t,"M?t ng?, m?t cân b?ng,N?i ti?t"
"M?t ng?, ?au l?ng",N?i ti?t,"M?t ng?, ?au l?ng,N?i ti?t"
"M?t ng?, khó th?",N?i ti?t,"M?t ng?, khó th?,N?i ti?t"
"M?t ng?, suy gi?m trí nh?",N?i ti?t,"M?t ng?, suy gi?m trí nh?,N?i ti?t"
"M?t ng?, ?au kh?p",N?i ti?t,"M?t ng?, ?au kh?p,N?i ti?t"
"M?t ng?, t?ng huy?t áp",N?i ti?t,"M?t ng?, t?ng huy?t áp,N?i ti?t"
"S?i th?n, ?au l?ng",N?i ti?t,"S?i th?n, ?au l?ng,N?i ti?t"
"S?i th?n, bu?n nôn",N?i ti?t,"S?i th?n, bu?n nôn,N?i ti?t"
"S?i th?n, ti?u ?êm nhi?u l?n",N?i ti?t,"S?i th?n, ti?u ?êm nhi?u l?n,N?i ti?t"
"S?i th?n, nôn m?a",N?i ti?t,"S?i th?n, nôn m?a,N?i ti?t"
"S?i th?n, ?au b?ng d??i",N?i ti?t,"S?i th?n, ?au b?ng d??i,N?i ti?t"
"S?i th?n, khó th?",N?i ti?t,"S?i th?n, khó th?,N?i ti?t"
"Ti?u ???ng, t?ng huy?t áp, m?t m?i",N?i ti?t,"Ti?u ???ng, t?ng huy?t áp, m?t m?i,N?i ti?t"
"Ti?u ???ng, béo phì, ?au x??ng kh?p",N?i ti?t,"Ti?u ???ng, béo phì, ?au x??ng kh?p,N?i ti?t"
"Béo phì, khó th?, ?au l?ng",N?i ti?t,"Béo phì, khó th?, ?au l?ng,N?i ti?t"
"T?ng huy?t áp, ?au ??u, chóng m?t",N?i ti?t,"T?ng huy?t áp, ?au ??u, chóng m?t,N?i ti?t"
"T?ng huy?t áp, m?t ng?, bu?n nôn",N?i ti?t,"T?ng huy?t áp, m?t ng?, bu?n nôn,N?i ti?t"
"?ái tháo ???ng, s?i th?n, ?au ??u",N?i ti?t,"?ái tháo ???ng, s?i th?n, ?au ??u,N?i ti?t"
"M?t ng?, ?au ??u, chán ?n",N?i ti?t,"M?t ng?, ?au ??u, chán ?n,N?i ti?t"
"S?i th?n, ?au l?ng, ti?u ?êm nhi?u l?n",N?i ti?t,"S?i th?n, ?au l?ng, ti?u ?êm nhi?u l?n,N?i ti?t"
"Suy gi?m ch?c n?ng tuy?n giáp, m?t m?i, tóc r?ng",N?i ti?t,"Suy gi?m ch?c n?ng tuy?n giáp, m?t m?i, tóc r?ng,N?i ti?t"
"Suy gi?m ch?c n?ng tuy?n giáp, t?ng cân, khô da",N?i ti?t,"Suy gi?m ch?c n?ng tuy?n giáp, t?ng cân, khô da,N?i ti?t"
"Viêm tuy?n t?o d?ch, ?au ng?c, khó th?",N?i ti?t,"Viêm tuy?n t?o d?ch, ?au ng?c, khó th?,N?i ti?t"
"Viêm tuy?n t?o d?ch, ho, s?t",N?i ti?t,"Viêm tuy?n t?o d?ch, ho, s?t,N?i ti?t"
"Suy gi?m ch?c n?ng tuy?n th??ng th?n, m?t trí nh?, ?au ??u",N?i ti?t,"Suy gi?m ch?c n?ng tuy?n th??ng th?n, m?t trí nh?, ?au ??u,N?i ti?t"
"Suy gi?m ch?c n?ng tuy?n th??ng th?n, ?ái bu?t, ti?u nhi?u l?n",N?i ti?t,"Suy gi?m ch?c n?ng tuy?n th??ng th?n, ?ái bu?t, ti?u nhi?u l?n,N?i ti?t"
"T?ng n?ng ?? cortisol, m?n trên m?t, t?ng cân",N?i ti?t,"T?ng n?ng ?? cortisol, m?n trên m?t, t?ng cân,N?i ti?t"
"T?ng n?ng ?? cortisol, c?m giác lo l?ng, khó ng?",N?i ti?t,"T?ng n?ng ?? cortisol, c?m giác lo l?ng, khó ng?,N?i ti?t"
"Viêm tuy?n t?o d?ch, ?au kh?p, s?ng kh?p",N?i ti?t,"Viêm tuy?n t?o d?ch, ?au kh?p, s?ng kh?p,N?i ti?t"
"Viêm tuy?n t?o d?ch, m?t trí nh?, r?i lo?n tình c?m",N?i ti?t,"Viêm tuy?n t?o d?ch, m?t trí nh?, r?i lo?n tình c?m,N?i ti?t"
"?ái tháo ???ng, ?au m?t, khó ch?u ? chân tay",N?i ti?t,"?ái tháo ???ng, ?au m?t, khó ch?u ? chân tay,N?i ti?t"
"?ái tháo ???ng, m?t cân b?ng n??c ?i?n gi?i, bu?n nôn",N?i ti?t,"?ái tháo ???ng, m?t cân b?ng n??c ?i?n gi?i, bu?n nôn,N?i ti?t"
"T?ng n?ng ?? prolactin, kinh nguy?t không ??u, s?a ch?y ra kh?i vú",N?i ti?t,"T?ng n?ng ?? prolactin, kinh nguy?t không ??u, s?a ch?y ra kh?i vú,N?i ti?t"
"T?ng n?ng ?? prolactin, s?a ch?y ra kh?i vú, gi?m ham mu?n tình d?c",N?i ti?t,"T?ng n?ng ?? prolactin, s?a ch?y ra kh?i vú, gi?m ham mu?n tình d?c,N?i ti?t"
"Suy gi?m ch?c n?ng tuy?n giáp, chán ?n, khó ch?u",N?i ti?t,"Suy gi?m ch?c n?ng tuy?n giáp, chán ?n, khó ch?u,N?i ti?t"
"Suy gi?m ch?c n?ng tuy?n giáp, suy nh??c, r?ng tóc",N?i ti?t,"Suy gi?m ch?c n?ng tuy?n giáp, suy nh??c, r?ng tóc,N?i ti?t"
"Viêm tuy?n t?o d?ch, ho, khó th?",N?i ti?t,"Viêm tuy?n t?o d?ch, ho, khó th?,N?i ti?t"
"Viêm tuy?n t?o d?ch, khó ch?u ? c?, khó nu?t",N?i ti?t,"Viêm tuy?n t?o d?ch, khó ch?u ? c?, khó nu?t,N?i ti?t"
"T?ng n?ng ?? estrogen, gi?m ham mu?n tình d?c, kinh nguy?t không ??u",N?i ti?t,"T?ng n?ng ?? estrogen, gi?m ham mu?n tình d?c, kinh nguy?t không ??u,N?i ti?t"
"T?ng n?ng ?? estrogen, ?au ng?c, phù ? chân",N?i ti?t,"T?ng n?ng ?? estrogen, ?au ng?c, phù ? chân,N?i ti?t"
"?ái tháo ???ng, ti?u ?êm nhi?u l?n, t?ng cân",N?i ti?t,"?ái tháo ???ng, ti?u ?êm nhi?u l?n, t?ng cân,N?i ti?t"
"?ái tháo ???ng, m?t c?m giác ? chân, loét chân",N?i ti?t,"?ái tháo ???ng, m?t c?m giác ? chân, loét chân,N?i ti?t"
"T?ng n?ng ?? androgen, r?ng tóc, m?n trên m?t",N?i ti?t,"T?ng n?ng ?? androgen, r?ng tóc, m?n trên m?t,N?i ti?t"
"T?ng n?ng ?? androgen, r?ng tóc, t?ng cân",N?i ti?t,"T?ng n?ng ?? androgen, r?ng tóc, t?ng cân,N?i ti?t"
"Suy gi?m ch?c n?ng tuy?n th??ng th?n, m?t trí nh?, m?t m?i",N?i ti?t,"Suy gi?m ch?c n?ng tuy?n th??ng th?n, m?t trí nh?, m?t m?i,N?i ti?t"
"Suy gi?m ch?c n?ng tuy?n th??ng th?n, chóng m?t",N?i ti?t,"Suy gi?m ch?c n?ng tuy?n th??ng th?n, chóng m?t,N?i ti?t"
"Viêm tuy?n t?o d?ch, s?ng môi, m?t thâm qu?ng",N?i ti?t,"Viêm tuy?n t?o d?ch, s?ng môi, m?t thâm qu?ng,N?i ti?t"
"Viêm tuy?n t?o d?ch, s?ng tay chân, m?t c?m giác tay chân",N?i ti?t,"Viêm tuy?n t?o d?ch, s?ng tay chân, m?t c?m giác tay chân,N?i ti?t"
"T?ng n?ng ?? insulin, ?au b?ng d??i, tiêu ch?y",N?i ti?t,"T?ng n?ng ?? insulin, ?au b?ng d??i, tiêu ch?y,N?i ti?t"
"T?ng n?ng ?? insulin, t?ng cân, m?t m?i",N?i ti?t,"T?ng n?ng ?? insulin, t?ng cân, m?t m?i,N?i ti?t"
"Suy gi?m ch?c n?ng tuy?n giáp, ?au kh?p, m?t trí nh?",N?i ti?t,"Suy gi?m ch?c n?ng tuy?n giáp, ?au kh?p, m?t trí nh?,N?i ti?t"
"Suy gi?m ch?c n?ng tuy?n giáp, khó th?, m?t ng?",N?i ti?t,"Suy gi?m ch?c n?ng tuy?n giáp, khó th?, m?t ng?,N?i ti?t"
"T?ng n?ng ?? cortisol, t?ng cân, khó ng?",N?i ti?t,"T?ng n?ng ?? cortisol, t?ng cân, khó ng?,N?i ti?t"
"T?ng n?ng ?? cortisol, s?t cân, m?t m?i",N?i ti?t,"T?ng n?ng ?? cortisol, s?t cân, m?t m?i,N?i ti?t"
"Viêm tuy?n t?o d?ch, khó th?, s?t",N?i ti?t,"Viêm tuy?n t?o d?ch, khó th?, s?t,N?i ti?t"
"Viêm tuy?n t?o d?ch, ?au b?ng, tiêu ch?y",N?i ti?t,"Viêm tuy?n t?o d?ch, ?au b?ng, tiêu ch?y,N?i ti?t"
"T?ng n?ng ?? prolactin, m?t kinh, t?ng cân",N?i ti?t,"T?ng n?ng ?? prolactin, m?t kinh, t?ng cân,N?i ti?t"
"T?ng n?ng ?? prolactin, gi?m ham mu?n tình d?c, s?a ch?y ra kh?i vú",N?i ti?t,"T?ng n?ng ?? prolactin, gi?m ham mu?n tình d?c, s?a ch?y ra kh?i vú,N?i ti?t"
"Suy gi?m ch?c n?ng tuy?n giáp, gi?m ham mu?n tình d?c, m?t m?i",N?i ti?t,"Suy gi?m ch?c n?ng tuy?n giáp, gi?m ham mu?n tình d?c, m?t m?i,N?i ti?t"
"Suy gi?m ch?c n?ng tuy?n giáp, m?t trí nh?, ?au kh?p",N?i ti?t,"Suy gi?m ch?c n?ng tuy?n giáp, m?t trí nh?, ?au kh?p,N?i ti?t"
"Viêm tuy?n t?o d?ch, s?ng ??u g?i, ?au kh?p",N?i ti?t,"Viêm tuy?n t?o d?ch, s?ng ??u g?i, ?au kh?p,N?i ti?t"
"Viêm tuy?n t?o d?ch, s?t, khó th?",N?i ti?t,"Viêm tuy?n t?o d?ch, s?t, khó th?,N?i ti?t"
"?ái tháo ???ng, khát n??c, m?t m?",N?i ti?t,"?ái tháo ???ng, khát n??c, m?t m?,N?i ti?t"
"?ái tháo ???ng, ?au tim, ?au chân khi ?i b?",N?i ti?t,"?ái tháo ???ng, ?au tim, ?au chân khi ?i b?,N?i ti?t"
"T?ng n?ng ?? estrogen, t?ng cân, m?t kinh",N?i ti?t,"T?ng n?ng ?? estrogen, t?ng cân, m?t kinh,N?i ti?t"
"T?ng n?ng ?? estrogen, ?au b?ng kinh, m?t ng?",N?i ti?t,"T?ng n?ng ?? estrogen, ?au b?ng kinh, m?t ng?,N?i ti?t"
"Suy gi?m ch?c n?ng tuy?n th??ng th?n, chóng m?t, m?t m?i",N?i ti?t,"Suy gi?m ch?c n?ng tuy?n th??ng th?n, chóng m?t, m?t m?i,N?i ti?t"
"Suy gi?m ch?c n?ng tuy?n th??ng th?n, ?ái bu?t, ti?u ?êm nhi?u l?n",N?i ti?t,"Suy gi?m ch?c n?ng tuy?n th??ng th?n, ?ái bu?t, ti?u ?êm nhi?u l?n,N?i ti?t"
"T?ng n?ng ?? androgen, m?n trên l?ng, r?ng tóc",N?i ti?t,"T?ng n?ng ?? androgen, m?n trên l?ng, r?ng tóc,N?i ti?t"
"T?ng n?ng ?? androgen, t?ng cân, r?ng tóc",N?i ti?t,"T?ng n?ng ?? androgen, t?ng cân, r?ng tóc,N?i ti?t"
"Da khô, n?t n?, bong tróc",Da li?u,"Da khô, n?t n?, bong tróc,Da li?u"
"S?ng, ?au, ??, nóng, ng?a, m?n ??, viêm",Da li?u,"S?ng, ?au, ??, nóng, ng?a, m?n ??, viêm,Da li?u"
"N?i m?n ??, v?y",Da li?u,"N?i m?n ??, v?y,Da li?u"
"Da s?n sùi, ng?a, b? n?t n?",Da li?u,"Da s?n sùi, ng?a, b? n?t n?,Da li?u"
N?i ??m ??,Da li?u,"N?i ??m ??,Da li?u"
S?ng t?y,Da li?u,"S?ng t?y,Da li?u"
"N?i m?n ??, s?ng, ng?a, ?au",Da li?u,"N?i m?n ??, s?ng, ng?a, ?au,Da li?u"
"Da b? n?i ??m ??, ng?a, s?ng, ?au",Da li?u,"Da b? n?i ??m ??, ng?a, s?ng, ?au,Da li?u"
"Da b? v?y, s?ng, ng?a, ?au",Da li?u,"Da b? v?y, s?ng, ng?a, ?au,Da li?u"
"Da b? n?i m?n ??, s?ng, ng?a, ?au",Da li?u,"Da b? n?i m?n ??, s?ng, ng?a, ?au,Da li?u"
"Da b? bong tróc, s?ng, ng?a, ?au",Da li?u,"Da b? bong tróc, s?ng, ng?a, ?au,Da li?u"
"Da b? n?t n?, s?ng, ng?a, ?au",Da li?u,"Da b? n?t n?, s?ng, ng?a, ?au,Da li?u"
"Da b? b?m tím, s?ng, ?au, nóng",Da li?u,"Da b? b?m tím, s?ng, ?au, nóng,Da li?u"
"Da b? kích ?ng, n?i ??m ??, ng?a, s?ng",Da li?u,"Da b? kích ?ng, n?i ??m ??, ng?a, s?ng,Da li?u"
"Da b? n?i v?y, s?ng, ?au, ng?a",Da li?u,"Da b? n?i v?y, s?ng, ?au, ng?a,Da li?u"
"Da b? viêm, ??, s?ng, nóng",Da li?u,"Da b? viêm, ??, s?ng, nóng,Da li?u"
"Da b? n?i m?n tr?ng cá, s?ng, ng?a, ?au",Da li?u,"Da b? n?i m?n tr?ng cá, s?ng, ng?a, ?au,Da li?u"
"Da b? s?n sùi, ng?a, ?au, n?i m?n ??",Da li?u,"Da b? s?n sùi, ng?a, ?au, n?i m?n ??,Da li?u"
"Da b? ng?a, n?i m?n ??, s?ng, bong tróc",Da li?u,"Da b? ng?a, n?i m?n ??, s?ng, bong tróc,Da li?u"
"Da b? bong tróc, n?i v?y, ?au, ng?a",Da li?u,"Da b? bong tróc, n?i v?y, ?au, ng?a,Da li?u"
"Da b? khô, n?i m?n ??, s?ng, ?au",Da li?u,"Da b? khô, n?i m?n ??, s?ng, ?au,Da li?u"
"Da b? s?ng, nóng, ?au, n?i m?n ??",Da li?u,"Da b? s?ng, nóng, ?au, n?i m?n ??,Da li?u"
"Da b? n?i v?t s?o, s?ng, ?au, ng?a",Da li?u,"Da b? n?i v?t s?o, s?ng, ?au, ng?a,Da li?u"
"Da b? nóng, ??, s?ng, ?au",Da li?u,"Da b? nóng, ??, s?ng, ?au,Da li?u"
"Da b? n?i m?n cám, ng?a, ?au, s?ng",Da li?u,"Da b? n?i m?n cám, ng?a, ?au, s?ng,Da li?u"
"Da b? n?i n?t ??, s?ng, ng?a, ?au",Da li?u,"Da b? n?i n?t ??, s?ng, ng?a, ?au,Da li?u"
"Da b? s?ng, ??, n?i m?n ??, ng?a",Da li?u,"Da b? s?ng, ??, n?i m?n ??, ng?a,Da li?u"
"Da b? s?n sùi, ?au, n?i m?n ??, ng?a",Da li?u,"Da b? s?n sùi, ?au, n?i m?n ??, ng?a,Da li?u"
"Da b? n?i v?y, s?ng, nóng, ng?a",Da li?u,"Da b? n?i v?y, s?ng, nóng, ng?a,Da li?u"
"Da b? n?t n?, ?au, s?ng, ng?a",Da li?u,"Da b? n?t n?, ?au, s?ng, ng?a,Da li?u"
"Da b? bong tróc, nóng, s?ng, ?au",Da li?u,"Da b? bong tróc, nóng, s?ng, ?au,Da li?u"
"Da b? ng?a, ??, s?ng, b?m tím",Da li?u,"Da b? ng?a, ??, s?ng, b?m tím,Da li?u"
"Da b? s?ng, ?au, b?m tím, n?i m?n ??",Da li?u,"Da b? s?ng, ?au, b?m tím, n?i m?n ??,Da li?u"
"Da b? n?i v?y, s?ng, ?au, b?m tím",Da li?u,"Da b? n?i v?y, s?ng, ?au, b?m tím,Da li?u"
"Da b? b?m tím, ?au, s?ng, n?i m?n ??",Da li?u,"Da b? b?m tím, ?au, s?ng, n?i m?n ??,Da li?u"
"Da b? n?i m?n ??, ng?a, b?m tím, s?ng",Da li?u,"Da b? n?i m?n ??, ng?a, b?m tím, s?ng,Da li?u"
"Da b? m?n ??, ng?a, ?au, s?ng",Da li?u,"Da b? m?n ??, ng?a, ?au, s?ng,Da li?u"
"Da b? n?i v?y, s?ng, ?au, n?i m?n ??",Da li?u,"Da b? n?i v?y, s?ng, ?au, n?i m?n ??,Da li?u"
"Da b? ng?a, ??, s?ng, bong tróc",Da li?u,"Da b? ng?a, ??, s?ng, bong tróc,Da li?u"
"Da b? s?n sùi, n?i m?n ??, ng?a, bong tróc",Da li?u,"Da b? s?n sùi, n?i m?n ??, ng?a, bong tróc,Da li?u"
"Da b? viêm, ??, s?ng, ng?a",Da li?u,"Da b? viêm, ??, s?ng, ng?a,Da li?u"
"Da b? n?i m?n cám, ng?a, s?ng, ?au",Da li?u,"Da b? n?i m?n cám, ng?a, s?ng, ?au,Da li?u"
"Da b? bong tróc, s?ng, nóng, ?au",Da li?u,"Da b? bong tróc, s?ng, nóng, ?au,Da li?u"
"Da b? n?i m?n ??, ng?a, s?ng, bong tróc",Da li?u,"Da b? n?i m?n ??, ng?a, s?ng, bong tróc,Da li?u"
"Da b? bong tróc, ?au, n?i v?y, s?ng",Da li?u,"Da b? bong tróc, ?au, n?i v?y, s?ng,Da li?u"
"Da b? s?n sùi, n?i m?n ??, ng?a, nóng",Da li?u,"Da b? s?n sùi, n?i m?n ??, ng?a, nóng,Da li?u"
"Da b? khô, ?au, s?ng, n?i m?n ??",Da li?u,"Da b? khô, ?au, s?ng, n?i m?n ??,Da li?u"
"Da b? n?i ??m ??, ng?a, s?ng, b?m tím",Da li?u,"Da b? n?i ??m ??, ng?a, s?ng, b?m tím,Da li?u"
"Da b? nóng, s?ng, ?au, b?m tím",Da li?u,"Da b? nóng, s?ng, ?au, b?m tím,Da li?u"
"Da b? s?ng, n?i v?y, ng?a, ?au",Da li?u,"Da b? s?ng, n?i v?y, ng?a, ?au,Da li?u"
"Da b? n?i m?n ??, s?ng, ng?a, b?m tím",Da li?u,"Da b? n?i m?n ??, s?ng, ng?a, b?m tím,Da li?u"
"Da b? ng?a, ?au, s?ng, n?i m?n ??",Da li?u,"Da b? ng?a, ?au, s?ng, n?i m?n ??,Da li?u"
"Da b? bong tróc, s?n sùi, ng?a, n?i m?n ??",Da li?u,"Da b? bong tróc, s?n sùi, ng?a, n?i m?n ??,Da li?u"
"Da b? viêm, ??, s?ng, n?i m?n ??",Da li?u,"Da b? viêm, ??, s?ng, n?i m?n ??,Da li?u"
